표현 장면명,REF 코드,감정 증거,대사·행동 배열,대표성,마지막 검토,상태,상태 변화,상황군,식별자 비노출,역할 표기,원문 위치,원문 장면,장면 조건,장면 종료 방식,정리문 제외,정보 공개 순서,진입 방식,표면 모방 위험,표현 목적,표현 범주,후속 회수
보호 충동의 실패를 판정한 뒤 결함 고백의 연쇄로 공동체를 만드는 장면,REF-46,리더는 공개 사과하고 자책한다. 서툰 위로가 시작되자 다른 구성원들도 열등감과 실패를 차례로 털어놓는다.,동료 모욕 → 리더 선공 → 물리적 제지 → 안전 확보 → 공개 사과 → 위험 책임 판정 → 보호 동기 인정 → 결함 고백 연쇄 → 장기 동행 발화,실패,2026년 8월 5일,준비,기능 슬롯 집합 → 리더 실패로 붕괴 가능 → 책임과 동기 분리 → 서로의 결함을 아는 장기 팀,"관계 갈등, 관계 형성, 보호·희생, 성장·실패",Yes,"주인공, 리더 A, 동료 B·C·D, 적대 집단","52~53화 24,480~24,767행","보호 충동으로 팀을 위험에 빠뜨린 리더가 책임과 동기를 분리해 판정받는 장면 (%EB%B3%B4%ED%98%B8%20%EC%B6%A9%EB%8F%99%EC%9C%BC%EB%A1%9C%20%ED%8C%80%EC%9D%84%20%EC%9C%84%ED%97%98%EC%97%90%20%EB%B9%A0%EB%9C%A8%EB%A6%B0%20%EB%A6%AC%EB%8D%94%EA%B0%80%20%EC%B1%85%EC%9E%84%EA%B3%BC%20%EB%8F%99%EA%B8%B0%EB%A5%BC%20%EB%B6%84%EB%A6%AC%ED%95%B4%20%ED%8C%90%EC%A0%95%EB%B0%9B%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae813eabceca9137c48b7a.csv), 리더 실패 뒤 각자의 결함을 공개하며 장기 동행을 선택하는 장면 (%EB%A6%AC%EB%8D%94%20%EC%8B%A4%ED%8C%A8%20%EB%92%A4%20%EA%B0%81%EC%9E%90%EC%9D%98%20%EA%B2%B0%ED%95%A8%EC%9D%84%20%EA%B3%B5%EA%B0%9C%ED%95%98%EB%A9%B0%20%EC%9E%A5%EA%B8%B0%20%EB%8F%99%ED%96%89%EC%9D%84%20%EC%84%A0%ED%83%9D%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81cd89fcee5b9c3e2179.csv)",리더의 보호 충동이 공동체 전체를 위험에 빠뜨렸고 구성원 모두 숨은 결함을 가짐,사과 수용만으로 닫지 않고 구성원들이 오래 함께하고 싶다는 관계 선택으로 끝남,Yes,실패 결과 → 책임 인정 → 동기 인정 → 개별 결함 → 팀 재명명 → 장기 의사,강자 앞에서 리더가 동료 모욕에 반응하는 순간 시작함,높음,"관계 시작, 관계 재분류, 사과, 책임 수용","관계 재분류, 사과·책임, 정보 공개, 행동 증명",구성원의 성장 뒤 분배권이 올라가고 공동 전리품과 합류 시기를 함께 정하는 권리 공동체로 확장됨
재회한 옛 동료의 새 소속을 인정하고 빈자리를 성급히 채우지 않는 장면,REF-46,재회 반가움은 남지만 주인공은 현재 동료와 외부 책임을 먼저 확인한다. 결원이 있어도 아무나 넣지 않는다.,옛 동료 재회 → 현재 소속 확인 → 자동 복귀 보류 → 새 관계 인정 → 조직 등록 시 결원 확인 → 검증되지 않은 충원 거부 → 현재 구성원만 등록,대비,2026년 8월 5일,준비,과거 파티 소속 → 분리 중 새 소속과 책임 → 복귀 가능한 독립 인물 → 비어 있어도 보존되는 파티 자리,"관계 형성, 권한·위계, 이별·재회, 조직·제도",Yes,"주인공, 옛 동료 A, 현재 구성원들","382~383화 186,957~187,135행 / 446화 220,397~220,450행","옛 동료의 새 소속을 인정하고 자동 복귀를 요구하지 않는 장면 (%EC%98%9B%20%EB%8F%99%EB%A3%8C%EC%9D%98%20%EC%83%88%20%EC%86%8C%EC%86%8D%EC%9D%84%20%EC%9D%B8%EC%A0%95%ED%95%98%EA%B3%A0%20%EC%9E%90%EB%8F%99%20%EB%B3%B5%EA%B7%80%EB%A5%BC%20%EC%9A%94%EA%B5%AC%ED%95%98%EC%A7%80%20%EC%95%8A%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81e897b4ecf9276bd37c.csv), 빈 자리를 아무나 채우지 않고 검증된 관계만 조직에 등록하는 장면 (%EB%B9%88%20%EC%9E%90%EB%A6%AC%EB%A5%BC%20%EC%95%84%EB%AC%B4%EB%82%98%20%EC%B1%84%EC%9A%B0%EC%A7%80%20%EC%95%8A%EA%B3%A0%20%EA%B2%80%EC%A6%9D%EB%90%9C%20%EA%B4%80%EA%B3%84%EB%A7%8C%20%EC%A1%B0%EC%A7%81%EC%97%90%20%EB%93%B1%EB%A1%9D%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81e196b0ef5b5b009b04.csv)",장기 분리 뒤 옛 동료가 새 책임을 얻었고 현재 파티에는 결원이 있음,친밀감으로 복귀를 확정하지 않고 현재 관계만 조직에 등록함,Yes,재회 감정 → 현재 소속 → 복귀 보류 → 조직 결원 → 충원 보류,옛 동료와 재회하거나 조직 등록을 준비하는 실무 장면에서 시작함,중간,"거리 확보, 관계 재분류, 권리 생성, 선택 유예","거리 유지, 관계 재분류, 선택 유예, 책임 분리",공동 전리품과 합류 시기는 각자의 외부 책임을 반영해 공동 조정됨
실패 뒤 리더의 결정 책임과 구성원의 선택 책임을 동시에 남기는 장면,REF-46,"상실한 구성원은 원망보다 자기 선택을 말하고, 리더는 안도하거나 위로로 덮지 못한 채 결과를 받아들인다.",사망 결과 확인 → 리더의 책임 의식 → 생존자의 반응 대기 → 원망 거부 → 자기 선택 인정 → 공동 책임의 잔여,미해결,2026년 8월 5일,준비,공동 결정 → 실제 상실 → 책임 전가 가능성 → 리더와 구성원 양쪽에 남는 책임,"관계 갈등, 보호·희생, 상실·애도, 평가·판정",Yes,"리더, 상실한 구성원 A","216화 106,059~106,163행",실패 뒤 생존자가 리더와 자기 선택의 책임을 함께 인정하는 장면 (%EC%8B%A4%ED%8C%A8%20%EB%92%A4%20%EC%83%9D%EC%A1%B4%EC%9E%90%EA%B0%80%20%EB%A6%AC%EB%8D%94%EC%99%80%20%EC%9E%90%EA%B8%B0%20%EC%84%A0%ED%83%9D%EC%9D%98%20%EC%B1%85%EC%9E%84%EC%9D%84%20%ED%95%A8%EA%BB%98%20%EC%9D%B8%EC%A0%95%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8181ba46d1ed2766f10d.csv),리더가 결정하고 구성원이 동의한 행동 뒤 실제 사망자가 발생함,용서나 화해를 확정하지 않고 양쪽 책임이 해소되지 않은 상태로 남김,Yes,결과 → 리더 책임 → 상대 반응 → 자기 선택 책임 → 미해결 잔여,위기가 끝난 뒤 사망자의 가까운 구성원과 마주하는 장면에서 시작함,높음,"긴장 유지, 애도, 책임 수용, 한계 인정","사과·책임, 책임 분리, 침묵, 한계 인정",장기 분리 뒤 옛 동료의 새 소속을 인정하고 자동 복귀를 요구하지 않는 판단으로 이어짐
붕괴 중 사람 회수를 전력 편입·공동체 자격·집단 생존 논리로 나눠 판정하는 장면,REF-46,"주인공은 낙오자를 구조하며 능력을 즉시 확인하지만, 죽은 동료를 모욕하는 생존자에게는 배제 충동을 느낀다. 추가 구조는 감상이 아니라 생존 확률로 설명한다.",흩어진 동료 수색 → 낙오자 구조 → 능력 확인과 임시 편입 → 유용한 생존자 추가 구조 → 사망 동료 모욕 → 공동체 자격 재평가 → 좌석 한계 논쟁 → 즉사 위험·인원 규모 계산 → 추가 구조 결정,대표,2026년 8월 5일,준비,개별 동료 수색 → 기능을 공유하는 임시 이동 공동체 → 전력 가치와 공동체 자격 분리 → 더 큰 생존 집단 형성,"보호·희생, 위기·생존, 조직·제도, 평가·판정",Yes,"주인공, 낙오자 A, 생존자 B, 임시 동행자들, 사망자들","825~827화 382,140~382,967행","흩어진 동료를 찾는 동안 낙오자를 능력 기준으로 임시 공동체에 태우는 장면 (%ED%9D%A9%EC%96%B4%EC%A7%84%20%EB%8F%99%EB%A3%8C%EB%A5%BC%20%EC%B0%BE%EB%8A%94%20%EB%8F%99%EC%95%88%20%EB%82%99%EC%98%A4%EC%9E%90%EB%A5%BC%20%EB%8A%A5%EB%A0%A5%20%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C%20%EC%9E%84%EC%8B%9C%20%EA%B3%B5%EB%8F%99%EC%B2%B4%EC%97%90%20%ED%83%9C%EC%9A%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81d7b436eb584c2e8590.csv), 유용한 생존자가 죽은 동료를 소모품으로 보자 공동체 자격을 재평가하는 장면 (%EC%9C%A0%EC%9A%A9%ED%95%9C%20%EC%83%9D%EC%A1%B4%EC%9E%90%EA%B0%80%20%EC%A3%BD%EC%9D%80%20%EB%8F%99%EB%A3%8C%EB%A5%BC%20%EC%86%8C%EB%AA%A8%ED%92%88%EC%9C%BC%EB%A1%9C%20%EB%B3%B4%EC%9E%90%20%EA%B3%B5%EB%8F%99%EC%B2%B4%20%EC%9E%90%EA%B2%A9%EC%9D%84%20%EC%9E%AC%ED%8F%89%EA%B0%80%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81ee87c7ed572d6cf79a.csv), 추가 구조를 도덕 명령이 아니라 집단 생존 확률로 설명하는 장면 (%EC%B6%94%EA%B0%80%20%EA%B5%AC%EC%A1%B0%EB%A5%BC%20%EB%8F%84%EB%8D%95%20%EB%AA%85%EB%A0%B9%EC%9D%B4%20%EC%95%84%EB%8B%88%EB%9D%BC%20%EC%A7%91%EB%8B%A8%20%EC%83%9D%EC%A1%B4%20%ED%99%95%EB%A5%A0%EB%A1%9C%20%EC%84%A4%EB%AA%85%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8108bb3bc032e5d6c394.csv)",계속 이동해야 생존하지만 흩어진 동료와 다른 생존자를 동시에 찾아야 하고 수용 인원에 한계가 있음,모두를 무조건 받아들이는 도덕 선언이 아니라 정석 방어를 위한 인원 확보와 동료 회수 가능성을 함께 확정함,Yes,구조 행동 → 기능 가치 → 공동체 반례 → 수용 한계 → 생존 계산 → 추가 구조,차원 붕괴 속에서 흩어진 동료를 찾으며 이동하는 장면에서 시작함,높음,"관계 재분류, 보호 약속, 책임 수용, 판정 번복","관계 재분류, 책임 분리, 판정, 행동 증명",파티 공동체가 고정 명단이 아니라 위기 중에도 선택·책임·자격을 계속 갱신하는 구조임을 확인함
위험을 설명한 뒤 타인의 마지막 선택을 강제로 바꾸지 않는 장면,REF-46,주인공은 상대의 생존 가능성을 걱정하지만 반복 설득 뒤 말과 행동을 멈춘다.,위험 정보 제공 → 생존 대안 제시 → 상대의 거절과 이유 → 재확인 → 강제 가능성 보류 → 선택 존중 → 구조 가능성만 남김,대비,2026년 8월 5일,준비,보호 대상처럼 보이는 상대 → 충분한 정보가 주어진 선택자 → 위험을 감수하는 독립 행위자,"관계 갈등, 보호·희생, 평가·판정",Yes,"주인공, 외부 인물 A","175화 84,555~84,689행",생존 조언을 끝낸 뒤 타인의 마지막 선택을 침해하지 않는 장면 (%EC%83%9D%EC%A1%B4%20%EC%A1%B0%EC%96%B8%EC%9D%84%20%EB%81%9D%EB%82%B8%20%EB%92%A4%20%ED%83%80%EC%9D%B8%EC%9D%98%20%EB%A7%88%EC%A7%80%EB%A7%89%20%EC%84%A0%ED%83%9D%EC%9D%84%20%EC%B9%A8%ED%95%B4%ED%95%98%EC%A7%80%20%EC%95%8A%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae815d9a53d97d9f90efc7.csv),상대가 치명적 위험을 알면서도 자기 이유로 남으려 하며 주인공은 물리적으로 강제할 수 있음,동의하지 않지만 상대의 결정을 그대로 둔 채 이후 구조 가능성만 남김,Yes,객관 위험 → 대안 → 상대 이유 → 주인공의 중단,주인공이 상대의 잔류 선택을 발견하고 생존 조언을 시작함,중간,"거리 확보, 선택 유예, 신뢰 보류, 한계 인정","거리 유지, 선택 유예, 책임 분리, 한계 인정",파티 내부의 집단 생사 결정에서는 의견을 듣되 최종 책임을 리더가 맡는 대비가 형성됨
전문 의견 충돌에서 목표와 책임을 확정하고 승리 보고로도 손실을 지우지 않는 장면,REF-46,지휘관은 목표와 책임을 선언하지만 승리 뒤 전사자 보고를 듣고 성공의 비용을 확인한다.,상반된 목표 → 의견 방식 논쟁 → 목표 선택 → 책임 선언 → 전투 → 위업 보고 → 보상 미획득 → 전사자 보고,실패,2026년 8월 5일,준비,전문 지식 충돌 → 책임 귀속 → 전투 성공 → 불완전한 성공 판정,"권한·위계, 보상·처벌, 상실·애도, 전투·대결",Yes,"사령관, 현장 전문가 A, 연구 전문가 B, 보고자","557화 271,881~272,027행 / 559화 273,037~273,133행","전문 의견 충돌 뒤 지휘관이 목표와 모든 손실 책임을 확정하는 장면 (%EC%A0%84%EB%AC%B8%20%EC%9D%98%EA%B2%AC%20%EC%B6%A9%EB%8F%8C%20%EB%92%A4%20%EC%A7%80%ED%9C%98%EA%B4%80%EC%9D%B4%20%EB%AA%A9%ED%91%9C%EC%99%80%20%EB%AA%A8%EB%93%A0%20%EC%86%90%EC%8B%A4%20%EC%B1%85%EC%9E%84%EC%9D%84%20%ED%99%95%EC%A0%95%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae816c8567de1d2671bb51.csv), 공식 승리 보고 뒤 전사자와 미획득 보상을 연속 배치하는 장면 (%EA%B3%B5%EC%8B%9D%20%EC%8A%B9%EB%A6%AC%20%EB%B3%B4%EA%B3%A0%20%EB%92%A4%20%EC%A0%84%EC%82%AC%EC%9E%90%EC%99%80%20%EB%AF%B8%ED%9A%8D%EB%93%9D%20%EB%B3%B4%EC%83%81%EC%9D%84%20%EC%97%B0%EC%86%8D%20%EB%B0%B0%EC%B9%98%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81888b13e56bfb343791.csv)",전문가 의견이 갈리고 선택 뒤 대규모 손실 가능성이 있음,위업보다 전사자와 보상 실패가 다음 판단 기준으로 남음,Yes,의견 → 책임 → 실행 → 위업 → 손실,다음 공략 대상을 정하는 지휘 회의로 시작함,높음,,,손실을 본 전문가는 자기 오판을 인정하고 현장 전문가의 자문권을 높임
대규모 지휘권을 기존 팀 자율과 최소 공통 명령의 경계로 운용하는 장면,REF-46,새 지휘자는 짧은 준비 기간과 기존 팀의 숙련을 인정해 전면 통제를 포기한다.,통합 훈련 한계 → 기존 팀 전투 유지 → 상호 지원 → 전체 집결 신호 → 공통 진형 → 원정 개시,대비,2026년 8월 5일,준비,단일 지휘권 → 전면 통제 가능성 → 평시 자율·비상 통합의 제한 권한,"권한·위계, 전투·대결, 조직·제도",Yes,"총지휘자, 팀장들, 원정대원들","397화 193,951~194,017행",평시 팀 자율과 비상시 전체 집결 명령을 분리하는 장면 (%ED%8F%89%EC%8B%9C%20%ED%8C%80%20%EC%9E%90%EC%9C%A8%EA%B3%BC%20%EB%B9%84%EC%83%81%EC%8B%9C%20%EC%A0%84%EC%B2%B4%20%EC%A7%91%EA%B2%B0%20%EB%AA%85%EB%A0%B9%EC%9D%84%20%EB%B6%84%EB%A6%AC%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8138a58ec632bbb33350.csv),여러 숙련 팀을 짧은 기간 안에 하나의 원정대로 운용해야 함,공통 명령 두 종류만 정한 뒤 원정으로 넘어감,Yes,시간 한계 → 기존 숙련 → 자율 범위 → 전체 명령 범위,원정 직전 운용 규칙을 정함,중간,,,수백 명 군단에서는 기능 책임자와 정기 보고 체계로 확장됨
손실을 동반한 생존 판단을 보고 가능한 전략 정보와 외부 지휘 자격으로 바꾸는 장면,REF-46,"현장 리더는 중상을 입고도 팀을 위임한 뒤 보고부터 하며, 자질 칭찬보다 다음 위험을 확인한다.",팀 지휘 위임 → 물적 증거 전달 → 경로·적 정보 보고 → 손실과 선택 설명 → 외부 자질 판정 → 다음 질문,대표,2026년 8월 5일,준비,개인 생존 경험 → 전략 정보 → 외부 지휘 자격 후보,"권한·위계, 위기·생존, 정보·비밀, 평가·판정",Yes,"현장 리더, 임시 지휘자 A, 외부 지휘관 B","215화 105,245~105,477행",생존 경로를 보고해 개인 판단을 외부 지휘부의 전략 정보로 바꾸는 장면 (%EC%83%9D%EC%A1%B4%20%EA%B2%BD%EB%A1%9C%EB%A5%BC%20%EB%B3%B4%EA%B3%A0%ED%95%B4%20%EA%B0%9C%EC%9D%B8%20%ED%8C%90%EB%8B%A8%EC%9D%84%20%EC%99%B8%EB%B6%80%20%EC%A7%80%ED%9C%98%EB%B6%80%EC%9D%98%20%EC%A0%84%EB%9E%B5%20%EC%A0%95%EB%B3%B4%EB%A1%9C%20%EB%B0%94%EA%BE%B8%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae816792fbd1801f7693d1.csv),현장 생존자가 손실을 입은 경로와 위험 정보를 더 큰 지휘부에 전달해야 함,자질 인정에 머물지 않고 다음 위험 확인으로 넘어감,Yes,부상·위임 → 물적 증거 → 사실 질문 → 선택·손실 → 자질 판정,팀을 다른 사람에게 맡기고 외부 본부로 이동함,높음,,,대규모 원정대장 경쟁에서 지휘 자격을 다시 공개 검증함
실제 손실이 전문가의 오판을 수정하고 지도 제공자의 다음 목표 자문권을 넓히는 장면,REF-46,연구 전문가는 자신이 위험을 얕봤다고 인정하고 이후 회의에서 현장 경험과 지도 제공자가 먼저 경로를 제안한다.,손실 확인 → 사전 평가 회상 → 오판 인정 → 회의 → 지도 펼침 → 조건부 경로 제안 → 수용 검토,대표,2026년 8월 5일,준비,현장 판단을 낮게 본 전문가 → 결과 기반 수정 → 지도 제공자의 확대된 자문권,"권한·위계, 정보·비밀, 평가·판정",Yes,"현장 전문가 A, 연구 전문가 B, 사령관, 조장들","559~560화 273,273~273,509행","실제 손실을 본 전문가가 자기 오판을 인정하고 타인의 발언권을 높이는 장면 (%EC%8B%A4%EC%A0%9C%20%EC%86%90%EC%8B%A4%EC%9D%84%20%EB%B3%B8%20%EC%A0%84%EB%AC%B8%EA%B0%80%EA%B0%80%20%EC%9E%90%EA%B8%B0%20%EC%98%A4%ED%8C%90%EC%9D%84%20%EC%9D%B8%EC%A0%95%ED%95%98%EA%B3%A0%20%ED%83%80%EC%9D%B8%EC%9D%98%20%EB%B0%9C%EC%96%B8%EA%B6%8C%EC%9D%84%20%EB%86%92%EC%9D%B4%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81e6abf5c3fe784e7481.csv), 갱신 지도와 손실 평가를 근거로 다음 목표 자문권이 확대되는 장면 (%EA%B0%B1%EC%8B%A0%20%EC%A7%80%EB%8F%84%EC%99%80%20%EC%86%90%EC%8B%A4%20%ED%8F%89%EA%B0%80%EB%A5%BC%20%EA%B7%BC%EA%B1%B0%EB%A1%9C%20%EB%8B%A4%EC%9D%8C%20%EB%AA%A9%ED%91%9C%20%EC%9E%90%EB%AC%B8%EA%B6%8C%EC%9D%B4%20%ED%99%95%EB%8C%80%EB%90%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81cfbdc7f58b4e940cc4.csv)",전문가의 사전 평가와 실제 손실이 어긋났고 다음 목적지를 정해야 함,현재 지도와 전력에 맞춘 조건부 경로를 남김,Yes,손실 → 오판 인정 → 지도 → 조건부 제안,전투 결과를 되짚는 대화에서 다음 회의로 이어짐,중간,,,지하 탐사에서는 지도 자체가 매일 갱신·배포되는 공용 자산으로 확장됨
공략 실패를 선언한 뒤 직함보다 조사 행동과 공개 동의로 군단 지휘권을 인수하는 장면,REF-46,현장 지휘자는 지식 실패와 손실을 숨기지 않고 지휘 공백에서는 먼저 사고를 조사한다.,예상과 다른 결과 → 손실 확인 → 실패 선언 → 지휘 공백 → 조사·책임 정리 → 승계 거부 → 공개 의견 → 지휘권 인수,대표,2026년 8월 5일,준비,공략 제안자 → 실패 책임자 → 실제 조사자 → 공개 동의를 받은 군단장,"권한·위계, 성장·실패, 조직·제도, 평가·판정",Yes,"현장 지휘자, 합법적 승계자 A, 지휘관들","604~605화 292,369~293,109행","선행 지식의 누락과 인원 손실을 인정하고 공략 실패를 선언하는 장면 (%EC%84%A0%ED%96%89%20%EC%A7%80%EC%8B%9D%EC%9D%98%20%EB%88%84%EB%9D%BD%EA%B3%BC%20%EC%9D%B8%EC%9B%90%20%EC%86%90%EC%8B%A4%EC%9D%84%20%EC%9D%B8%EC%A0%95%ED%95%98%EA%B3%A0%20%EA%B3%B5%EB%9E%B5%20%EC%8B%A4%ED%8C%A8%EB%A5%BC%20%EC%84%A0%EC%96%B8%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae816caf4dd6b61d663554.csv), 지휘 공백에서 조사 권한을 먼저 행사하고 공개 동의로 군단 지휘권을 인수하는 장면 (%EC%A7%80%ED%9C%98%20%EA%B3%B5%EB%B0%B1%EC%97%90%EC%84%9C%20%EC%A1%B0%EC%82%AC%20%EA%B6%8C%ED%95%9C%EC%9D%84%20%EB%A8%BC%EC%A0%80%20%ED%96%89%EC%82%AC%ED%95%98%EA%B3%A0%20%EA%B3%B5%EA%B0%9C%20%EB%8F%99%EC%9D%98%EB%A1%9C%20%EA%B5%B0%EB%8B%A8%20%EC%A7%80%ED%9C%98%EA%B6%8C%EC%9D%84%20%EC%9D%B8%EC%88%98%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81e68dcafaad60e81fb3.csv)",공략 실패와 지휘 공백이 동시에 발생하고 합법 승계자가 책임을 거부함,권한을 자칭하지 않고 공개 동의 뒤 업무를 시작함,Yes,실패 → 공백 → 조사 → 승계 거부 → 공개 선출,정석과 다른 결과를 실패로 판정함,높음,,,새 군단장은 기능별 책임자와 정기 보고 체계를 설계함
지휘 자격을 다원화한 뒤 실전 결과를 패배자들의 재평가로 지휘권에 환전하는 장면,REF-46,후보들은 패배 뒤 체면과 후원 책임 때문에 흔들리지만 상대의 준비·유인·결의를 각자 인정한다.,통솔·경험·정보·신뢰 주장 → 공개 시험 → 정보 활용 → 유인·부상 교환 → 승리 → 패배자별 재해석 → 이견 확인,대표,2026년 8월 5일,준비,후보 경쟁 → 다원적 기준 → 실전 검증 → 수용된 단일 지휘권,"권한·위계, 전투·대결, 조직·제도, 평가·판정",Yes,"후보 A·B·C·D·E, 후원자","393~396화 191,881~193,237행","통솔·경험·정보·신뢰를 후보별 지휘 자격으로 공개 토론하는 장면 (%ED%86%B5%EC%86%94%C2%B7%EA%B2%BD%ED%97%98%C2%B7%EC%A0%95%EB%B3%B4%C2%B7%EC%8B%A0%EB%A2%B0%EB%A5%BC%20%ED%9B%84%EB%B3%B4%EB%B3%84%20%EC%A7%80%ED%9C%98%20%EC%9E%90%EA%B2%A9%EC%9C%BC%EB%A1%9C%20%EA%B3%B5%EA%B0%9C%20%ED%86%A0%EB%A1%A0%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81b8bb7ddf2884ca8b71.csv), 무력 시험 뒤 패배자들이 정보·치밀함·결의를 재평가해 지휘권을 수용하는 장면 (%EB%AC%B4%EB%A0%A5%20%EC%8B%9C%ED%97%98%20%EB%92%A4%20%ED%8C%A8%EB%B0%B0%EC%9E%90%EB%93%A4%EC%9D%B4%20%EC%A0%95%EB%B3%B4%C2%B7%EC%B9%98%EB%B0%80%ED%95%A8%C2%B7%EA%B2%B0%EC%9D%98%EB%A5%BC%20%EC%9E%AC%ED%8F%89%EA%B0%80%ED%95%B4%20%EC%A7%80%ED%9C%98%EA%B6%8C%EC%9D%84%20%EC%88%98%EC%9A%A9%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae817b9dd7fffa82bf0a6e.csv)",강점과 후원이 다른 후보들이 하나의 대규모 지휘권을 놓고 경쟁함,승자가 자칭하는 대신 패배 후보들의 이견을 확인하고 수용을 얻음,Yes,평가 기준 → 시험 → 결과 → 타인의 해석 → 권한 수용,이상적인 지휘관 조건을 공개 토론함,높음,,,획득한 지휘권은 팀 자율과 비상 집결의 경계로 제한됨
